elo,name,date,year,color,id,Master_id
1548.1596041541115,Wolves,2019-11-23T15:00:00Z,2019-20,#FDB913,20.0,26.0
1456.4601357755034,Brighton,2019-11-23T15:00:00Z,2019-20,#0057B8,4.0,4.0
1638.8530980370472,Leicester,2019-11-23T15:00:00Z,2019-20,#003090,9.0,12.0
1471.2341273196714,Crystal Palace,2019-11-23T15:00:00Z,2019-20,#1B458F,7.0,7.0
1708.2177972895772,Liverpool,2019-11-23T15:00:00Z,2019-20,#C8102E,10.0,13.0
1425.3522753576242,Everton,2019-11-23T15:00:00Z,2019-20,#003399,8.0,8.0
1387.6242702079508,Norwich,2019-11-23T15:00:00Z,2019-20,#FFF200,14.0,18.0
1405.2039526252563,Watford,2019-11-23T15:00:00Z,2019-20,#FFEE00,18.0,23.0
1501.6019029404506,Burnley,2019-11-23T15:00:00Z,2019-20,#6C1D45,5.0,5.0
1609.9295689196795,Man City,2019-11-23T17:30:00Z,2019-20,#6CABDD,11.0,15.0
1592.5390321002662,Chelsea,2019-11-23T17:30:00Z,2019-20,#034694,6.0,6.0
1523.246524612636,Sheffield Utd,2019-11-24T16:30:00Z,2019-20,#EE2737,15.0,20.0
1506.1405899810463,Man Utd,2019-11-24T16:30:00Z,2019-20,#DA291C,12.0,16.0
1471.3660127751166,Aston Villa,2019-11-25T20:00:00Z,2019-20,#670E36,2.0,1.0
1480.096372225534,Newcastle,2019-11-25T20:00:00Z,2019-20,#241F20,13.0,17.0
1489.0267490944004,Newcastle,2019-11-30T12:30:00Z,2019-20,#241F20,13.0,17.0
1600.999192050813,Man City,2019-11-30T12:30:00Z,2019-20,#6CABDD,11.0,15.0
1474.4223134911115,Burnley,2019-11-30T15:00:00Z,2019-20,#6C1D45,5.0,5.0
1498.4137167690105,Crystal Palace,2019-11-30T15:00:00Z,2019-20,#1B458F,7.0,7.0
1555.622770288457,Chelsea,2019-11-30T15:00:00Z,2019-20,#034694,6.0,6.0
1449.2609450077543,West Ham,2019-11-30T15:00:00Z,2019-20,#7A263A,19.0,25.0
1717.723774506579,Liverpool,2019-11-30T15:00:00Z,2019-20,#C8102E,10.0,13.0
